User_ID,account_nbr,Occupation_usr,Years_wk_usr,Salary_usr
G9mW2nS1oX,234561098765432,Bartender,1 year,"$45,000"
A6yK4sB8qL,345672109876543,Architect,9 years,"$78,000"
O1uP7rH3jW,456783210987654,Hair Stylist,11 years,"$92,000"
N5oY2iG8pK,567894321098765,Veterinarian,3 years,"$60,000"
H9qL6wN3mA,678905432109876,Project Manager,8 years,"$75,000"
I2nX7vU4dR,789016543210987,Dental Assistant,5 years,"$55,000"
C8mT3oP1iS,890127654321098,Data Scientist,12 years,"$90,000"
Y9zR6xL2wV,901238765432109,Real Estate Agent,2 years,"$50,000"
Q7uH5dV8pK,987654321098012,Event Coordinator,10 years,"$85,000"
U2rO9oN4iX,876543210987123,Electrician,6 years,"$65,000"
L6gS3wK1mY,765432109876234,Software Developer,4 years,"$70,000"
P4jA2yB8lH,654321098765345,Teacher,7 years,"$80,000"
W7nT3oR6uV,543210987654456,Accountant,15 years,"$100,000"
Z2xL9iH1yG,432109876543567,Chef,1 year,"$45,000"
X5uV7pB4wQ,321098765432678,Lawyer,9 years,"$78,000"
K3oH8jW1nM,210098765432789,Marketing Manager,11 years,"$92,000"
E9uI6oY2aP,109098765432890,Plumber,3 years,"$60,000"
D3qB7rL5sV,987654321098765,Graphic Designer,8 years,"$75,000"
J1fT4oN7iH,876543210987654,Doctor,5 years,"$55,000"
V8dX6iS3wK,765432109876543,Receptionist,12 years,"$90,000"
M2yA5oH9lN,654321098765432,Carpenter,2 years,"$50,000"
B7rP3mG8jX,543210987654321,Sales Representative,10 years,"$85,000"
C9kL4uV1dR,432109876543210,Librarian,6 years,"$65,000"
H6qO1uN8iP,321098765432109,Customer Service Representative,4 years,"$70,000"
W3nS5oY2vL,210098765432109,Mechanical Engineer,7 years,"$80,000"
I9pR7jH4aX,109098765432109,Artist,15 years,"$100,000"
Y2zX5iS8wK,876543210987654,Police Officer,1 year,"$45,000"
G6oN3uV1yJ,765432109876543,Financial Analyst,9 years,"$78,000"
F8wT1oB5mR,654321098765432,Retail Manager,11 years,"$92,000"
A4uK7yH2lQ,543210987654321,Web Developer,3 years,"$60,000"
S9iP6lB3wV,432109876543210,Pharmacist,8 years,"$75,000"
N1oY7qR4xK,321098765432109,Social Worker,5 years,"$55,000"
D3vO6iN2aH,210098765432109,IT Consultant,12 years,"$90,000"
Q8uW1nS5oX,109098765432109,Fitness Trainer,2 years,"$50,000"
U4rA7oP2yV,987654321098765,Journalist,10 years,"$85,000"
L6mX3iS1wT,876543210987654,Bartender,6 years,"$65,000"
P8jH5kL2oR,765432109876543,Architect,4 years,"$70,000"
C4uV7pS3yB,654321098765432,Hairdresser,7 years,"$80,000"
