User_ID,account_nbr,Saving_amt,Saving_typ,yrs_saved,Saving_percent
F4oB9rI6gX,210987654789012,"$35,000",Profit-Sharing Plans,11 years,23%
V7hT1pY5aJ,109876543890123,"$45,000",Profitable Side Business,14 years,9%
D3xU6iH8lK,123450987654321,"$70,000",Employee Stock Purchase Plan (ESPP),20 years,14%
G9mW2nS1oX,234561098765432,"$10,000",International Stocks,25 years,21%
A6yK4sB8qL,345672109876543,"$48,000",Employee Stock Options (ESOs),30 years,19%
O1uP7rH3jW,456783210987654,"$65,000","Real Assets (e.g., infrastructure, natural resources)",22 years,26%
N5oY2iG8pK,567894321098765,"$25,000",Treasury STRIPS,8 years,27%
H9qL6wN3mA,678905432109876,"$40,000",Equity Crowdfunding,17 years,15%
I2nX7vU4dR,789016543210987,"$20,000",Angel Investing,13 years,8%
C8mT3oP1iS,890127654321098,"$60,000",Timberland Investment,19 years,20%
Y9zR6xL2wV,901238765432109,"$15,000",Natural Gas and Energy Investments,3 years,12%
Q7uH5dV8pK,987654321098012,"$55,000",Social Impact Bonds,5 years,18%
U2rO9oN4iX,876543210987123,"$30,000",Rare Coin and Currency Collection,8 years,7%
L6gS3wK1mY,765432109876234,"$35,000",Structured Notes,2 years,22%
P4jA2yB8lH,654321098765345,"$45,000",Film and Entertainment Ventures,10 years,16%
W7nT3oR6uV,543210987654456,"$70,000",Alternative Mutual Funds,4 years,13%
Z2xL9iH1yG,432109876543567,"$10,000",Water Rights Investment,7 years,17%
X5uV7pB4wQ,321098765432678,"$48,000",Collectible Sports Memorabilia,6 years,11%
K3oH8jW1nM,210098765432789,"$65,000",Cloud Mining Investments,1 year,24%
E9uI6oY2aP,109098765432890,"$25,000",E-commerce Business Ownership,9 years,23%
D3qB7rL5sV,987654321098765,"$40,000","Virtual Real Estate (e.g., digital assets)",12 years,9%
J1fT4oN7iH,876543210987654,"$20,000",Fine Dining Investment,15 years,14%
V8dX6iS3wK,765432109876543,"$60,000",Limited Partnership Interests,18 years,21%
M2yA5oH9lN,654321098765432,"$15,000",Timeshare Ownership,11 years,19%
B7rP3mG8jX,543210987654321,"$55,000",Impact Investing,14 years,26%
C9kL4uV1dR,432109876543210,"$30,000",Far East Stocks,20 years,27%
H6qO1uN8iP,321098765432109,"$35,000",Crowdsourced Investment Ideas,25 years,15%
W3nS5oY2vL,210098765432109,"$45,000",Philanthropy Investment,30 years,8%
I9pR7jH4aX,109098765432109,"$70,000",Vintage Car Collection,22 years,20%
Y2zX5iS8wK,876543210987654,"$10,000",Technology Startup Investments,8 years,12%
G6oN3uV1yJ,765432109876543,"$48,000",Municipal Lease Obligations,17 years,18%
F8wT1oB5mR,654321098765432,"$65,000",Solar Energy Investments,13 years,7%
A4uK7yH2lQ,543210987654321,"$25,000",Distressed Debt Securities,19 years,22%
S9iP6lB3wV,432109876543210,"$40,000",Racehorse Ownership,3 years,16%
N1oY7qR4xK,321098765432109,"$20,000",Subscription Box Business Investment,5 years,13%
D3vO6iN2aH,210098765432109,"$60,000",Low-Cost Index Funds,8 years,17%
Q8uW1nS5oX,109098765432109,"$15,000",Franchise Ownership,2 years,11%
U4rA7oP2yV,987654321098765,"$55,000",Limited Liability Company (LLC) Interests,10 years,24%
L6mX3iS1wT,876543210987654,"$30,000",Cryptokitties and Digital Collectibles,4 years,23%
P8jH5kL2oR,765432109876543,"$35,000",Virtual Reality Real Estate,10 years,9%
C4uV7pS3yB,654321098765432,"$45,000",Prize-linked Savings Account,4 years,14%
